time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,ClosestZIP,ZipSTATE,ZipCITY,DistKMeq2zip
2019-04-11T13:05:29.520Z,34.1106667,-117.3161667,16.15,3.4,ml,205,11,0.01779,0.2,ci,ci38542824,2019-04-24T18:08:06.133Z,"3km SW of San Bernardino, CA",earthquake,0.09,0.2,0.162,327,reviewed,ci,ci,92346,CA,Highland,16.97411369
2019-04-10T23:20:07.237Z,40.3691,-126.4459,10,3,ml,,258,1.61,1.06,us,us70003453,2019-04-26T22:35:16.224Z,"186km W of Ferndale, California",earthquake,8.4,2,0.048,56,reviewed,us,us,95536,CA,Ferndale,184.6138889
2019-04-10T14:11:31.675Z,44.0002,-128.854,10,4.7,mww,,183,3.483,0.86,us,us700033n5,2019-04-11T01:50:24.345Z,Off the coast of Oregon,earthquake,10.4,1.9,0.05,39,reviewed,us,us,97411,OR,Bandon,373.7409807
2019-04-10T06:22:53.011Z,44.7146,-112.4857,2.79,3,ml,,53,0.137,0.46,us,us700033i4,2019-04-16T12:43:37.755Z,"12km NE of Lima, Montana",earthquake,2.1,9.7,0.052,48,reviewed,us,us,59739,MT,Lima,14.16782368
2019-04-10T04:32:11.370Z,39.0555,-110.9623333,17.46,3.17,ml,24,53,0.2135,0.23,uu,uu60320462,2019-04-13T04:27:44.371Z,"15km ESE of Ferron, Utah",earthquake,0.61,1.06,0.199,18,reviewed,uu,uu,84516,UT,Clawson,13.92492548
2019-04-09T18:11:13.882Z,44.6939,-112.5231,10,3.3,ml,,53,0.136,0.88,us,us600032ge,2019-04-11T16:14:28.664Z,"8km NE of Lima, Montana",earthquake,2,2,0.053,46,reviewed,us,us,59739,MT,Lima,11.12267879
2019-04-09T18:08:46.072Z,44.6965,-112.504,15.62,4.4,mwr,,41,0.129,0.42,us,us600032fs,2019-04-25T03:21:58.274Z,"9km NE of Lima, Montana",earthquake,2,6.2,0.04,60,reviewed,us,us,59739,MT,Lima,12.62058854
2019-04-09T11:22:43.100Z,40.398,-71.9855,7.06,3.04,ml,9,245,1.006,0.23,ld,ld60168101,2019-04-16T03:42:21.023Z,"53km SE of Southampton, New York",earthquake,1.25,31.61,0.233,11,reviewed,ld,ld,00501,NY,Holtsville,80.12386107
2019-04-09T09:34:14.390Z,31.147,-115.8911667,0.39,3.15,ml,12,222,0.2603,0.15,ci,ci37610730,2019-04-09T14:45:34.769Z,"90km SE of Maneadero, B.C., MX",earthquake,0.29,0.83,0.152,105,reviewed,ci,ci,92249,CA,Heber,180.2501151
2019-04-07T08:29:37.900Z,19.8551,-73.2213,10,3.8,ml,,137,1.586,0.63,us,us2000kbrv,2019-04-07T12:21:39.503Z,"3km W of Jean-Rabel, Haiti",earthquake,2.8,2,0.081,20,reviewed,us,us,00680,PR,Mayaguez,627.4362452
2019-04-06T21:01:41.937Z,30.8278,-114.0297,10,5.2,mww,,131,0.736,0.64,us,us2000kbgw,2019-04-19T22:29:02.353Z,"71km SW of Puerto Penasco, Mexico",earthquake,2.5,1.8,0.039,62,reviewed,us,us,85336,AZ,Gadsden,201.9807645
2019-04-06T19:47:05.000Z,31.2183333,-114.2978333,5.94,3.17,ml,3,186,0.5074,46.24,ci,ci37608658,2019-04-08T20:30:54.329Z,"127km SSE of Estacion Coahuila, B.C., MX",earthquake,99,31.61,0.17,2,reviewed,ci,ci,85336,AZ,Gadsden,152.6494778
2019-04-06T17:59:41.558Z,38.3738,-115.8204,6.2,3.2,ml,62,72.2,0.732,0.247,nn,nn00681685,2019-04-09T15:56:50.040Z,"50km SW of Currant, Nevada",earthquake,,2.2,0.38,23,reviewed,nn,nn,89022,NV,Manhattan,56.10503103
2019-04-06T08:45:13.020Z,30.8107,-114.0899,10,4.1,mb,,164,0.692,1.15,us,us2000kb8g,2019-04-06T21:25:20.056Z,"77km SW of Puerto Penasco, Mexico",earthquake,5.8,2,0.184,8,reviewed,us,us,85336,AZ,Gadsden,201.8668851
2019-04-05T17:52:32.570Z,35.861,-120.4126667,8.41,3.5,mw,76,42,0.02248,0.06,nc,nc73161470,2019-04-24T23:53:02.549Z,"4km SSE of Parkfield, CA",earthquake,0.1,0.17,,3,reviewed,nc,nc,93451,CA,San Miguel,27.29215313
2019-04-04T10:34:20.900Z,42.6725,-111.4913,5,3.3,ml,,112,0.084,0.21,us,us2000ka5x,2019-04-04T22:06:54.235Z,"9km ENE of Soda Springs, Idaho",earthquake,1,1.8,0.042,76,reviewed,us,us,83230,ID,Conda,10.04886526
2019-04-04T09:45:53.820Z,42.6766,-111.4803,5,3.2,ml,,112,0.092,0.39,us,us2000ka4i,2019-04-04T22:02:57.514Z,"10km ENE of Soda Springs, Idaho",earthquake,0.7,1.7,0.043,72,reviewed,us,us,83230,ID,Conda,10.61812579
2019-04-03T12:06:22.980Z,33.866,-117.7276667,4.75,3.61,ml,195,16,0.01545,0.25,ci,ci37603458,2019-04-18T08:58:03.535Z,"8km ESE of Yorba Linda, CA",earthquake,0.1,0.29,0.207,263,reviewed,ci,ci,92676,CA,Silverado,13.78885753
2019-04-01T14:43:27.510Z,39.0343,-118.9044,5.9,3.6,ml,25,86.18,0.504,0.1582,nn,nn00681228,2019-04-10T23:12:06.085Z,"23km ENE of Yerington, Nevada",earthquake,,1.5,0.23,12,reviewed,nn,nn,89427,NV,Schurz,9.371004971
2019-03-30T03:44:51.210Z,40.5617,-127.2253,10,3,ml,,289,2.203,1.04,us,us2000k7hv,2019-04-25T22:47:21.040Z,"250km W of Ferndale, California",earthquake,9.8,2,0.055,44,reviewed,us,us,95536,CA,Ferndale,250.1507639
2019-03-29T04:55:25.890Z,40.4288333,-124.4655,27.8,4.19,mw,27,238,0.1083,0.18,nc,nc73157855,2019-04-25T22:00:12.040Z,"19km NW of Petrolia, CA",earthquake,1.09,0.74,,6,reviewed,nc,nc,95536,CA,Ferndale,17.13050737
2019-03-29T04:35:19.640Z,19.662,-65.1033,77,3.23,md,9,335,1.6707,0.33,pr,pr2019088003,2019-04-25T21:52:50.040Z,"146km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,5.54,15.73,0.22,5,reviewed,pr,pr,00801,VI,St Thomas,149.6906592
2019-03-27T10:36:43.383Z,41.3141,-126.131,10,3,ml,,246,1.521,0.88,us,us2000k67y,2019-04-25T11:23:06.040Z,"168km WSW of Crescent City, California",earthquake,6.4,2,0.044,68,reviewed,us,us,95564,CA,Samoa,171.9200111
2019-03-26T22:43:31.240Z,43.5223,-128.5754,10,3.4,ml,,280,3.293,0.57,us,us1000jm2i,2019-04-05T01:15:10.020Z,Off the coast of Oregon,earthquake,12.9,2,0.046,62,reviewed,us,us,97464,OR,Ophir,341.0980902
2019-03-24T13:58:41.481Z,19.711,-109.5703,10,4.3,mb,,105,1.636,0.93,us,us1000jkzn,2019-04-29T18:27:39.040Z,"181km NE of Socorro Island, Mexico",earthquake,5.4,1.8,0.039,183,reviewed,us,us,79845,TX,Presidio,1215.379311
2019-03-24T11:53:15.476Z,47.0383,-113.1483,20.75,3.2,ml,,60,0.347,0.5,us,us1000jkyq,2019-04-14T07:32:51.893Z,"29km ESE of Seeley Lake, Montana",earthquake,3.2,7.5,0.047,60,reviewed,us,us,59854,MT,Ovando,3.862056404
2019-03-24T11:32:02.010Z,40.419,-125.1371667,6.86,4.35,mw,77,248,0.6129,0.21,nc,nc73155640,2019-05-01T06:47:17.040Z,"73km W of Petrolia, CA",earthquake,0.63,0.61,,8,reviewed,nc,nc,95536,CA,Ferndale,73.66668625
2019-03-23T18:20:07.890Z,40.3411667,-124.4301667,18.02,3.04,ml,26,250,0.08519,0.13,nc,nc73155340,2019-04-30T13:28:45.040Z,"12km W of Petrolia, CA",earthquake,0.65,0.29,0.179,18,reviewed,nc,nc,95558,CA,Petrolia,18.76645879
2019-03-23T07:34:18.636Z,37.3043,-117.4893,7.4,3.3,ml,21,35.58,0.144,0.2023,nn,nn00680709,2019-04-14T06:30:14.040Z,"50km SSW of Goldfield, Nevada",earthquake,,2.1,0.25,11,reviewed,nn,nn,89010,NV,Dyer,32.84940245
2019-03-22T22:36:18.480Z,36.7132,-97.6775,5,3.1,mb_lg,,49,0.201,0.7,us,us1000jkir,2019-03-31T02:36:50.544Z,"11km SSE of Medford, Oklahoma",earthquake,1.1,1.9,0.053,94,reviewed,us,us,74643,OK,Lamont,10.96648998
2019-03-22T12:44:38.834Z,31.6544,-104.3215,5.75,3,ml,,67,0.372,0.34,us,us1000jk8t,2019-04-24T14:37:37.040Z,"68km W of Mentone, Texas",earthquake,1.1,5.2,0.069,50,reviewed,us,us,88263,NM,Malaga,63.33093913
2019-03-21T16:16:23.092Z,31.6666,-104.3488,5,3,mb_lg,,62,0.379,0.4,us,us1000jju7,2019-04-30T13:59:55.040Z,"71km W of Mentone, Texas",earthquake,1.3,1.6,0.081,52,reviewed,us,us,88263,NM,Malaga,63.1198253
2019-03-21T15:32:04.819Z,46.8802,-113.1785,14.2,3.1,ml,,88,0.222,0.55,us,us1000jjts,2019-04-19T18:57:12.354Z,"38km WSW of Lincoln, Montana",earthquake,2.4,7.9,0.043,70,reviewed,us,us,59854,MT,Ovando,18.37116451
2019-03-21T10:53:17.316Z,31.0964,-103.2399,5,3,mb_lg,,53,0.19,0.44,us,us1000jjpx,2019-04-24T08:21:08.040Z,"41km WNW of Fort Stockton, Texas",earthquake,1.5,1.9,0.057,81,reviewed,us,us,79779,TX,Royalty,40.65794918
2019-03-20T20:22:47.090Z,31.099,-103.308,5,3,mb_lg,,57,0.179,0.61,us,us1000jjh5,2019-04-18T19:32:42.040Z,"40km SSE of Pecos, Texas",earthquake,2.1,2,0.061,70,reviewed,us,us,79718,TX,Balmorhea,39.47056163
2019-03-20T14:51:55.438Z,40.6533,-117.5608,7.7,3.5,ml,10,91.22,0.958,0.2497,nn,nn00680466,2019-04-11T09:53:18.040Z,"38km SSE of Winnemucca, Nevada",earthquake,,5.6,0.3,8,reviewed,nn,nn,89414,NV,Golconda,33.55970383
2019-03-20T12:06:02.360Z,36.068,-117.6853333,0.19,3.2,ml,37,30,0.07758,0.2,ci,ci38277999,2019-05-01T04:55:55.040Z,"24km E of Coso Junction, CA",earthquake,0.18,0.33,0.133,240,reviewed,ci,ci,93549,CA,Olancha,30.18978559
2019-03-18T08:55:42.130Z,33.5206667,-116.5723333,2.04,3.11,ml,162,21,0.03567,0.22,ci,ci38273775,2019-04-18T11:47:37.040Z,"10km ESE of Anza, CA",earthquake,0.09,0.16,0.146,221,reviewed,ci,ci,92539,CA,Anza,9.915719121
2019-03-17T12:38:59.250Z,19.681,-68.9173,126,3.32,md,19,343,0.4758,0.59,pr,pr2019076007,2019-03-17T16:35:26.316Z,"68km NE of Santa Barbara de Samana, Dominican Republic",earthquake,7.88,12.07,0.4,23,reviewed,pr,pr,00680,PR,Mayaguez,219.9788312
2019-03-17T12:05:15.340Z,43.4168,-127.6289,10,3.1,ml,,274,2.622,0.57,us,us1000jhfg,2019-04-07T13:24:57.012Z,"263km W of Bandon, Oregon",earthquake,11.6,2,0.046,62,reviewed,us,us,97464,OR,Ophir,264.1975288
2019-03-17T04:49:12.456Z,35.7366,-97.5624,5,3,mb_lg,,23,0.106,0.36,us,us1000jhax,2019-04-12T22:16:58.536Z,"12km NW of Edmond, Oklahoma",earthquake,1.2,1.9,0.046,121,reviewed,us,us,73003,OK,Edmond,8.90663014
2019-03-13T08:22:13.811Z,43.7144,-127.9008,10,3.3,ml,,281,2.792,0.69,us,us1000jk7i,2019-04-18T11:24:27.040Z,"290km WNW of Bandon, Oregon",earthquake,13.2,2,0.057,40,reviewed,us,us,97411,OR,Bandon,292.0198795
2019-03-11T18:36:21.090Z,31.0414,-87.2687,5,3.1,mb_lg,,163,0.226,0.44,us,us1000jdt6,2019-04-03T21:06:40.758Z,"4km N of Flomaton, Alabama",earthquake,2.8,2,0.102,25,reviewed,us,us,36427,AL,Brewton,5.619999264
2019-03-11T11:44:15.937Z,37.0182,-104.7961,5,3.1,ml,,45,0.104,1.19,us,us1000jdjl,2019-04-22T13:41:10.040Z,"31km WSW of Trinidad, Colorado",earthquake,4.6,2,0.064,44,reviewed,us,us,81091,CO,Weston,19.10861999
2019-03-10T10:00:34.691Z,52.6951,-115.0036,10,3.9,mwr,,56,2.266,0.85,us,us1000jd6z,2019-04-18T04:51:31.040Z,"36km N of Rocky Mountain House, Canada",earthquake,7.2,1.9,,21,reviewed,us,slm,59930,MT,Rexford,425.7210545
2019-03-09T20:09:57.496Z,40.5181,-126.4811,10,3.1,ml,,228,1.635,0.95,us,us1000jd0s,2019-04-12T02:52:48.040Z,"187km W of Ferndale, California",earthquake,5.4,2,0.045,64,reviewed,us,us,95536,CA,Ferndale,187.1687507
